away_abbr,away_name,away_score,home_abbr,home_name,home_score,date,year,neutral,away_short_rest,away_long_rest,home_short_rest,home_long_rest,f+/-,s&p+,fei,average_ranking,team_rankings_rating,strength_of_schedule,away_points_per_play,away_yards_per_play,away_yards_per_rush,away_yards_per_pass,home_points_per_play,home_yards_per_play,home_yards_per_rush,home_yards_per_pass,result,close
florida-state,Florida State,18.0,clemson,Clemson,24.0,Sep 3,2007,0,0,0,0,0,0.4425054039371322,0.1285562893819347,0.8260422773152966,0.5134205073536316,0.5790982960745517,-0.3949360363121444,1.5994773144926144,1.477454367608235,1.2067208288400788,1.5445147123982867,-0.3184174627473724,-0.5380992102072238,-0.72317916832793,-0.46662845025512517,6.0,-3.5
texas-tech,Texas Tech,49.0,southern-methodist,SMU,9.0,Sep 3,2007,0,0,0,0,0,-1.9318678007770762,-1.691328747508926,-2.1157696917511046,-2.7370224877288027,-2.6055618831141296,-2.258976890047501,-2.7664824149413176,-3.478057389867753,-0.17183631412527167,-1.7533842354448113,-0.5078105200461628,-0.2421270268190056,0.5705328750544318,-0.9806050920753153,-40.0,-8.0
army,Army,14.0,akron,Akron,22.0,Sep 1,2007,0,0,0,0,0,-0.053411920592606243,0.250366843887843,-0.3001611330305247,0.01977187343332809,0.16710241913785118,-0.26286413395495334,1.1529608999023684,1.4386660779158094,0.996563945996694,1.268419600438816,-0.18507365614889792,-0.3577605636556772,0.6422957409843352,-0.6804400308859552,8.0,5.5
san-jose-state,San Jose State,3.0,arizona-state,Arizona State,45.0,Sep 1,2007,0,0,0,0,0,2.0729186508464896,1.8112422235288113,2.2998803595028865,2.114031494864247,2.0850990040695976,2.161567805071331,1.8677015605013856,1.1524619936995928,1.8037000362203934,1.0538966862799903,0.8041308158568818,0.2379899860451638,-0.3639687473495923,1.4453556494280864,42.0,17.0
troy,Troy,26.0,arkansas,Arkansas,46.0,Sep 1,2007,0,0,0,0,0,0.38077175866994445,0.2566756954705302,0.525956985548749,0.3689844710538835,0.5051022628735486,1.0024985325311995,-0.2130206475845684,0.23566730651230472,-1.1146964640534596,2.148875479575012,1.0423047819402953,1.4180725366736313,3.5444745488500224,-1.4705946559625798,20.0,
kansas-state,Kansas State,13.0,auburn,Auburn,23.0,Sep 1,2007,0,0,0,0,0,0.9143486058214844,0.4269999352466536,1.3840015395618406,1.2180419007879069,0.39276887719383474,0.3745068963814614,0.27848949998747474,0.7134587949521622,0.18694454215992373,1.9116680714896335,0.05928333322064694,-0.6689574787415135,-0.6783273771217402,0.042550775978478894,10.0,13.5
wake-forest,Wake Forest,28.0,boston-college,Boston College,38.0,Sep 1,2007,0,0,0,0,0,0.5142879739543199,0.5034708421727271,0.5094075831219372,0.22424649673870456,0.08453149307484364,0.06687706523064374,1.1388341307010355,2.3981278837647655,3.0490164330943266,1.291104094365369,-1.143698963398082,-0.8569084911418692,-1.9451283457803865,-1.2279985818122394,10.0,5.0
arizona,Arizona,7.0,brigham-young,Brigham Young,20.0,Sep 1,2007,0,0,0,0,0,0.5603214919725905,0.4576324159834853,0.6677849784084118,0.9371945692518551,0.43020032767224947,-0.7934284410132205,1.2054487306656865,1.167977309576563,3.113032656108972,0.813448636205103,-0.47750552848603495,0.20754052264992795,-0.8085956172840996,0.4605791060669725,13.0,3.5
tennessee,Tennessee,31.0,california,California,45.0,Sep 1,2007,0,0,0,0,0,-0.5980841248264831,-0.748088295195209,-0.473703962940918,-0.8747371245525652,-0.13099413260393722,-0.07134564764421403,-0.7626084062105338,-0.22660886605057984,-0.3537100558809408,0.6867433271886436,0.3201991829261646,0.9722111701291022,1.2983201665811628,0.004171451285799821,14.0,7.5
colorado-state,Colorado State,28.0,colorado,Colorado,31.0,Sep 1,2007,1,0,0,0,0,0.7316718738027711,0.6271894943223253,0.7919998580506086,0.8720183330820799,0.4767065143609466,0.5380777648547201,-0.0273728525623248,-0.09320389636557852,0.5405170983829939,-1.2660068513160212,0.4598105396009706,0.2379899860451638,0.7456529064229808,0.03775336039189514,3.0,2.0
