date,away_abbr,away_name,away_score,home_abbr,home_name,home_score,year,neutral,away_short_rest,away_long_rest,home_short_rest,home_long_rest,dvoa,home_off_dvoa,away_off_dvoa,sp_dvoa,team_rankings_rating,strength_of_schedule,away_points_per_play,away_yards_per_play,away_yards_per_rush,away_yards_per_pass,home_points_per_play,home_yards_per_play,home_yards_per_rush,home_yards_per_pass,result,close
September 6,nor,New Orleans,10,clt,Indianapolis,41,2007,0,0,0,0,0,0.4403244495944379,0.6138964261487381,-0.44015316505408963,-0.14364640883977847,0.43589743589743585,0.44999999999999996,-0.5822784810126584,-0.24999999999999967,-0.277272727272727,-0.1272727272727272,0.4023618400740969,0.761904761904762,-0.08181818181818179,0.8285714285714286,31,5.5
September 9,atl,Atlanta,3,min,Minnesota,24,2007,0,0,0,0,0,0.32097334878331407,0.22560605519654447,-0.3055312578099894,0.14364640883977853,0.4461538461538462,0.15000000000000002,-0.8129052176597718,-0.20238095238095216,-0.4863636363636363,-0.0545454545454544,0.1914942883606051,0.4642857142857143,0.7000000000000002,0.2246753246753247,21,3.0
September 9,den,Denver,15,buf,Buffalo,14,2007,0,0,0,0,0,-0.0486674391657011,-0.04061194616016239,0.0441018958192011,0.5524861878453037,-0.015384615384615385,0.0,-0.3296542142636622,0.5119047619047622,0.4818181818181819,0.35064935064935077,-0.04932077801790677,4.996003610813204e-16,0.309090909090909,0.08181818181818185,-1,-3.0
September 9,mia,Miami,13,was,Washington,16,2007,0,0,0,0,0,0.3221320973348784,0.3243153986218715,-0.435623371059302,0.12707182320441995,0.3846153846153846,0.29999999999999993,-0.6290521765977155,-0.5476190476190473,-0.1409090909090907,-0.5155844155844155,0.25632911392405056,0.2619047619047619,0.1227272727272729,0.4974025974025976,3,3.0
September 9,phi,Philadelphia,13,gnb,Green Bay,16,2007,0,0,0,0,0,0.09385863267670913,-0.06994180442000786,0.03511371344924874,0.519337016574586,0.1743589743589744,-0.42500000000000004,-0.6079036739734486,2.220446049250313e-16,0.2272727272727274,-0.01948051948051943,-0.12287743130595896,0.3214285714285713,0.045454545454545414,0.3571428571428573,3,-3.0
September 9,pit,Pittsburgh,34,cle,Cleveland,7,2007,0,0,0,0,0,-0.11239860950173808,-0.40608822164304326,0.2369729372701631,0.5359116022099445,-0.20512820512820507,-0.10000000000000003,-0.002006792219821474,0.19047619047619113,0.3045454545454545,0.21428571428571452,-0.3091231861685708,-0.2857142857142859,0.1454545454545455,-0.34285714285714286,-27,-5.0
September 9,oti,Tennessee,13,jax,Jacksonville,10,2007,0,0,0,0,0,0.1645422943221323,-0.2892998678996037,-0.22544985540362023,0.02209944751381221,0.22051282051282056,0.20000000000000007,-0.5334979932077802,-0.16666666666666635,-0.03636363636363632,0.0025974025974025428,-0.296001852423588,-0.11904761904761918,0.1863636363636364,-0.029870129870129936,-3,7.5
September 9,kan,Kansas City,3,htx,Houston,20,2007,0,0,0,0,0,0.18424101969872547,-0.19671355635688542,0.06098039915741446,0.602209944751381,0.20512820512820512,-0.04999999999999993,-0.3597560975609756,-0.10714285714285662,-0.10909090909090893,-0.02077922077922062,-0.10273232479160233,0.16666666666666696,0.06818181818181812,0.2883116883116883,17,3.0
September 9,tam,Tampa Bay,6,sea,Seattle,20,2007,0,0,0,0,0,-0.035921205098493614,-0.39623424613517066,-0.2446401156771033,0.04972375690607794,0.07179487179487182,-0.04999999999999999,-0.5665328805186789,-0.09523809523809501,0.05454545454545451,-0.007792207792207795,-0.4785427601111458,-0.47619047619047605,-0.22727272727272718,-0.2350649350649351,14,6.0
September 9,det,Detroit,36,rai,Oakland,21,2007,0,0,0,0,0,-0.0023174971031286185,0.1875825627476884,-0.031646078046342174,-0.11049723756906084,-0.06666666666666668,-0.22499999999999998,0.2562519296079034,0.5357142857142861,0.4090909090909091,0.4181818181818179,-0.04523000926211809,0.11904761904761918,0.20454545454545442,0.09870129870129879,-15,2.5
September 10,rav,Baltimore,20,cin,Cincinnati,27,2007,0,0,0,0,0,0.07415990730011579,-0.22017030240279878,0.05710218144167964,-0.04972375690607678,0.16923076923076924,-0.30000000000000004,-0.2699907378820624,-0.011904761904761751,0.1090909090909093,-0.061038961038961004,0.18516517443655445,2.220446049250313e-16,-0.7272727272727272,0.6233766233766234,7,3.0
September 10,crd,Arizona,17,sfo,San Francisco,20,2007,0,0,0,0,0,-0.23870220162224795,-0.3547297297297297,0.07713145774572461,0.5359116022099452,-0.27692307692307694,0.17500000000000004,-0.10813522692189004,0.03571428571428581,-0.2727272727272727,0.3220779220779223,-0.2761654831738194,-0.49999999999999967,0.004545454545454464,-0.4545454545454545,3,3.5
September 16,htx,Houston,34,car,Carolina,21,2007,0,0,0,0,0,-0.19698725376593276,0.12306758541897317,-0.06833517797850691,-0.7016574585635358,-0.16923076923076924,-0.125,-0.1393176906452609,2.220446049250313e-16,-0.18181818181818188,0.242857142857143,-0.22051559123186165,-0.011904761904761751,0.20909090909090938,-0.1064935064935063,-13,6.5
September 16,buf,Buffalo,3,pit,Pittsburgh,26,2007,0,0,0,0,0,0.2827346465816918,0.03089185618908219,-0.6385849191331356,-0.35911602209944715,0.3794871794871794,-0.375,-0.7078573633837608,-0.6666666666666667,0.009090909090909205,-0.5999999999999999,-0.1239580117320167,0.27380952380952417,0.2545454545454547,0.35064935064935077,23,10.0
September 16,clt,Indianapolis,22,oti,Tennessee,20,2007,0,0,0,0,0,-0.21320973348783312,-0.58017958513335,-0.28137384412153243,0.3591160220994471,-0.3692307692307692,0.0,-0.207394257486879,-0.07142857142857129,-0.13181818181818183,0.05584415584415592,-0.8322784810126583,-0.583333333333333,-0.18636363636363623,-0.27012987012987005,-2,-6.5
September 16,cin,Cincinnati,45,cle,Cleveland,51,2007,0,0,0,0,0,0.09269988412514496,0.33715502160020006,0.2832080759755794,0.4917127071823202,0.046153846153846156,-0.04999999999999999,-0.05263970361222636,0.3333333333333338,0.1227272727272729,0.21428571428571452,0.1603890089533806,0.4642857142857143,0.2454545454545456,0.3389610389610389,6,-7.0
September 16,nor,New Orleans,14,tam,Tampa Bay,31,2007,0,0,0,0,0,0.31865585168018534,0.39725177621478847,-0.39623424613517066,0.25414364640883935,0.11282051282051281,-0.07500000000000001,-0.5639857980858294,-0.33333333333333337,-0.22727272727272718,-0.2636363636363639,0.08590614387156537,0.5714285714285714,0.05454545454545451,0.6285714285714287,17,-5.5
